id,sid,tid,word,lemma,upos,pos,cid,source,relation,word_source,lemma_source,sentiment,CodeType
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,2,
doc1,1,1,there,there,DET,EX,0,2,expl,is,be,2,
doc1,1,2,is,be,VERB,VBZ,6,0,root,ROOT,ROOT,2,
doc1,1,3,hereby,hereby,ADV,RB,9,4,advmod,established,establish,2,
doc1,1,4,established,establish,VERB,VBN,16,2,dep,is,be,2,
doc1,1,5,a,a,DET,DT,28,8,det,food,food,2,
doc1,1,6,saint,saint,NOUN,NN,30,8,compound,food,food,2,
doc1,1,7,paul,paul,NOUN,NN,36,8,compound,food,food,2,
doc1,1,8,food,food,NOUN,NN,41,4,dobj,established,establish,2,
doc1,1,9,and,and,CONJ,CC,46,8,cc,food,food,2,
doc1,1,10,nutrition,nutrition,NOUN,NN,50,11,compound,commission,commission,2,
doc1,1,11,commission,commission,NOUN,NN,60,4,dobj,established,establish,2,
doc1,1,12,...,...,.,:,70,2,punct,is,be,2,
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,2,
doc1,1,1,consisting,consist,VERB,VBG,0,0,root,ROOT,ROOT,2,
doc1,1,2,of,of,ADP,IN,11,5,case,members,member,2,
doc1,1,3,eleven,eleven,NOUN,NNS,14,5,compound,members,member,2,
doc1,1,4,at-large,at-large,ADJ,JJ,21,5,amod,members,member,2,
doc1,1,5,members,member,NOUN,NNS,30,1,nmod,consisting,consist,2,
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,2,
doc1,1,1,appointed,appoint,VERB,VBN,0,0,root,ROOT,ROOT,2,
doc1,1,2,by,by,ADP,IN,10,4,case,mayor,mayor,2,
doc1,1,3,the,the,DET,DT,13,4,det,mayor,mayor,2,
doc1,1,4,mayor,mayor,NOUN,NN,17,1,nmod,appointed,appoint,2,
doc1,1,5,of,of,ADP,IN,23,7,case,paul,paul,2,
doc1,1,6,saint,saint,NOUN,NN,26,7,compound,paul,paul,2,
doc1,1,7,paul,paul,NOUN,NN,32,4,nmod,mayor,mayor,2,
doc1,1,8,...,...,.,:,36,1,punct,appointed,appoint,2,
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,2,
doc1,1,1,and,and,CONJ,CC,0,0,root,ROOT,ROOT,2,
doc1,1,2,ratified,ratify,VERB,VBN,4,1,dep,and,and,2,
doc1,1,3,by,by,ADP,IN,13,6,case,council,council,2,
doc1,1,4,the,the,DET,DT,16,6,det,council,council,2,
doc1,1,5,city,city,NOUN,NN,20,6,compound,council,council,2,
doc1,1,6,council,council,NOUN,NN,25,2,nmod,ratified,ratify,2,
doc1,1,7,through,through,ADP,IN,33,11,case,process,process,2,
doc1,1,8,the,the,DET,DT,41,11,det,process,process,2,
doc1,1,9,open,open,ADJ,JJ,45,11,amod,process,process,2,
doc1,1,10,appointments,appointment,NOUN,NNS,50,11,compound,process,process,2,
doc1,1,11,process,process,NOUN,NN,63,2,nmod,ratified,ratify,2,
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,2,
doc1,1,1,of,of,ADP,IN,0,3,case,members,member,2,
doc1,1,2,the,the,DET,DT,3,3,det,members,member,2,Object
doc1,1,3,members,member,NOUN,NNS,7,10,nmod,appointed,appoint,2,Object
doc1,1,4,first,first,ADV,RB,15,5,advmod,appointed,appoint,2,Object
doc1,1,5,appointed,appoint,VERB,VBN,21,3,acl,members,member,2,Object
doc1,1,6,",",",",.,",",30,10,punct,appointed,appoint,2,
doc1,1,7,three,three,NUM,CD,32,10,nsubjpass,appointed,appoint,2,Object
doc1,1,8,shall,shall,VERB,MD,38,10,aux,appointed,appoint,2,Deontic
doc1,1,9,be,be,VERB,VB,44,10,auxpass,appointed,appoint,2,Aim
doc1,1,10,appointed,appoint,VERB,VBN,47,0,root,ROOT,ROOT,2,Object
doc1,1,11,for,for,ADP,IN,57,13,case,term,term,2,Condition
doc1,1,12,a,a,DET,DT,61,13,det,term,term,2,Condition
doc1,1,13,term,term,NOUN,NN,63,10,nmod,appointed,appoint,2,Condition
doc1,1,14,of,of,ADP,IN,68,16,case,year,year,2,Condition
doc1,1,15,one,one,NUM,CD,71,16,nummod,year,year,2,Condition
doc1,1,16,year,year,NOUN,NN,75,13,nmod,term,term,2,Condition
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,2,
doc1,1,1,three,three,NUM,CD,0,0,root,ROOT,ROOT,2,Object
doc1,1,2,for,for,ADP,IN,6,4,case,term,term,2,Condition
doc1,1,3,a,a,DET,DT,10,4,det,term,term,2,Condition
doc1,1,4,term,term,NOUN,NN,12,1,nmod,three,three,2,Condition
doc1,1,5,of,of,ADP,IN,17,7,case,years,year,2,Condition
doc1,1,6,two,two,NUM,CD,20,7,nummod,years,year,2,Condition
doc1,1,7,years,year,NOUN,NNS,24,4,nmod,term,term,2,Condition
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,2,
doc1,1,1,...,...,.,:,0,0,root,ROOT,ROOT,2,
doc1,1,2,and,and,CONJ,CC,3,1,root,...,...,2,
doc1,1,3,the,the,DET,DT,7,4,det,remainder,remainder,2,Object
doc1,1,4,remainder,remainder,NOUN,NN,11,2,dep,and,and,2,Object
doc1,1,5,-LRB-,-lrb-,.,-LRB-,21,6,punct,5,5,2,
doc1,1,6,5,5,NUM,CD,22,4,appos,remainder,remainder,2,
doc1,1,7,-RRB-,-rrb-,.,-RRB-,23,6,punct,5,5,2,
doc1,1,8,for,for,ADP,IN,25,10,case,term,term,2,Condition
