id,sid,tid,word,lemma,upos,pos,cid,source,relation,word_source,lemma_source,sentiment,CodeType
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,1,
doc1,1,1,there,there,DET,EX,0,2,expl,is,be,1,
doc1,1,2,is,be,VERB,VBZ,6,0,root,ROOT,ROOT,1,
doc1,1,3,hereby,hereby,ADV,RB,9,4,advmod,established,establish,1,
doc1,1,4,established,establish,VERB,VBN,16,2,xcomp,is,be,1,
doc1,1,5,a,a,DET,DT,28,10,det,board,board,1,
doc1,1,6,camden,camden,NOUN,NN,30,10,compound,board,board,1,
doc1,1,7,food,food,NOUN,NN,37,10,compound,board,board,1,
doc1,1,8,security,security,NOUN,NN,42,10,compound,board,board,1,
doc1,1,9,advisory,advisory,ADJ,JJ,51,10,amod,board,board,1,
doc1,1,10,board,board,NOUN,NN,60,4,dobj,established,establish,1,
doc1,1,11,",",",",.,",",65,4,punct,established,establish,1,
doc1,1,12,hereinafter,hereinafter,NOUN,NN,67,13,nsubj,referred,refer,1,
doc1,1,13,referred,refer,VERB,VBD,79,4,parataxis,established,establish,1,
doc1,1,14,to,to,PRT,TO,88,13,nmod,referred,refer,1,
doc1,1,15,as,as,ADP,IN,91,18,case,board,board,1,
doc1,1,16,the,the,DET,DT,94,18,det,board,board,1,
doc1,1,17,``,``,.,``,98,18,punct,board,board,1,
doc1,1,18,board,board,NOUN,NN,99,13,nmod,referred,refer,1,
doc1,1,19,.,.,.,.,104,2,punct,is,be,1,
doc1,1,20,'','',.,'',105,2,punct,is,be,1,
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,3,
doc1,1,1,the,the,DET,DT,0,3,det,members,member,3,
doc1,1,2,voting,voting,NOUN,NN,4,3,compound,members,member,3,Attribute
doc1,1,3,members,member,NOUN,NNS,11,9,nsubjpass,comprised,comprise,3,Attribute
doc1,1,4,of,of,ADP,IN,19,6,case,board,board,3,Attribute
doc1,1,5,the,the,DET,DT,22,6,det,board,board,3,Attribute
doc1,1,6,board,board,NOUN,NN,26,3,nmod,members,member,3,Attribute
doc1,1,7,shall,shall,VERB,MD,32,9,aux,comprised,comprise,3,Deontic
doc1,1,8,be,be,VERB,VB,38,9,auxpass,comprised,comprise,3,Aim
doc1,1,9,comprised,comprise,VERB,VBN,41,0,root,ROOT,ROOT,3,Aim
doc1,1,10,of,of,ADP,IN,51,11,case,residents,resident,3,Aim
doc1,1,11,residents,resident,NOUN,NNS,54,9,nmod,comprised,comprise,3,Object
doc1,1,12,and,and,CONJ,CC,64,11,cc,residents,resident,3,Object
doc1,1,13,former,former,ADJ,JJ,68,14,amod,residents,resident,3,Object
doc1,1,14,residents,resident,NOUN,NNS,75,9,nmod,comprised,comprise,3,Object
doc1,1,15,of,of,ADP,IN,85,17,case,city,city,3,Object
doc1,1,16,the,the,DET,DT,88,17,det,city,city,3,Object
doc1,1,17,city,city,NOUN,NN,92,11,nmod,residents,resident,3,Object
