id,sid,tid,word,lemma,upos,pos,cid,source,relation,word_source,lemma_source,sentiment,CodeType
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,2,
doc1,1,1,there,there,DET,EX,0,2,expl,is,be,2,
doc1,1,2,is,be,VERB,VBZ,6,0,root,ROOT,ROOT,2,
doc1,1,3,hereby,hereby,ADV,RB,9,4,advmod,created,create,2,
doc1,1,4,created,create,VERB,VBN,16,2,dep,is,be,2,
doc1,1,5,the,the,DET,DT,24,7,det,commission,commission,2,
doc1,1,6,advisory,advisory,ADJ,JJ,28,7,amod,commission,commission,2,Object
doc1,1,7,commission,commission,NOUN,NN,37,4,dobj,created,create,2,Object
doc1,1,8,on,on,ADP,IN,48,10,case,policy,policy,2,Object
doc1,1,9,food,food,NOUN,NN,51,10,compound,policy,policy,2,Object
doc1,1,10,policy,policy,NOUN,NN,56,7,nmod,commission,commission,2,Object
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,2,
doc1,1,1,there,there,ADV,RB,0,5,expl,policy,policy,2,
doc1,1,2,shall,shall,VERB,MD,6,5,aux,policy,policy,2,Deontic
doc1,1,3,be,be,VERB,VB,12,5,cop,policy,policy,2,Aim
doc1,1,4,a,a,DET,DT,15,5,det,policy,policy,2,Object
doc1,1,5,policy,policy,NOUN,NN,17,0,root,ROOT,ROOT,2,Object
doc1,1,6,to,to,PRT,TO,24,7,mark,improve,improve,2,Object
doc1,1,7,improve,improve,VERB,VB,27,5,acl,policy,policy,2,Object
doc1,1,8,the,the,DET,DT,35,9,det,availability,availability,2,Object
doc1,1,9,availability,availability,NOUN,NN,39,7,dobj,improve,improve,2,Object
doc1,1,10,of,of,ADP,IN,52,11,case,food,food,2,Object
doc1,1,11,food,food,NOUN,NN,55,9,nmod,availability,availability,2,Object
doc1,1,12,to,to,PRT,TO,60,13,case,persons,person,2,Object
doc1,1,13,persons,person,NOUN,NNS,63,9,nmod,availability,availability,2,Object
doc1,1,14,in,in,ADP,IN,71,15,case,need,need,2,Object
doc1,1,15,need,need,NOUN,NN,74,9,nmod,availability,availability,2,Object
doc1,1,16,within,within,ADP,IN,79,18,case,city,city,2,Object
doc1,1,17,the,the,DET,DT,86,18,det,city,city,2,Object
doc1,1,18,city,city,NOUN,NN,90,15,nmod,need,need,2,Object
doc1,1,19,and,and,CONJ,CC,95,9,cc,availability,availability,2,Object
doc1,1,20,a,a,DET,DT,99,24,det,commission,commission,2,Object
doc1,1,21,food,food,NOUN,NN,101,24,compound,commission,commission,2,Object
doc1,1,22,policy,policy,NOUN,NN,106,24,compound,commission,commission,2,Object
doc1,1,23,advisory,advisory,ADJ,JJ,113,24,amod,commission,commission,2,Object
doc1,1,24,commission,commission,NOUN,NN,122,7,dobj,improve,improve,2,Object
doc1,1,0,ROOT,ROOT,,,NA,NA,NA,NA,NA,1,
doc1,1,1,the,the,DET,DT,0,2,det,purpose,purpose,1,
doc1,1,2,purpose,purpose,NOUN,NN,4,7,nsubj,be,be,1,
doc1,1,3,of,of,ADP,IN,12,5,case,policy,policy,1,
doc1,1,4,the,the,DET,DT,15,5,det,policy,policy,1,
doc1,1,5,policy,policy,NOUN,NN,19,2,nmod,purpose,purpose,1,
doc1,1,6,shall,shall,VERB,MD,26,7,aux,be,be,1,
doc1,1,7,be,be,VERB,VB,32,0,root,ROOT,ROOT,1,
doc1,1,8,to,to,PRT,TO,35,9,mark,integrate,integrate,1,
doc1,1,9,integrate,integrate,VERB,VB,38,7,xcomp,be,be,1,Aim
doc1,1,10,all,all,DET,DT,48,11,det,agencies,agency,1,Object
doc1,1,11,agencies,agency,NOUN,NNS,52,9,dobj,integrate,integrate,1,Object
doc1,1,12,of,of,ADP,IN,61,14,case,city,city,1,Object
doc1,1,13,the,the,DET,DT,64,14,det,city,city,1,Object
doc1,1,14,city,city,NOUN,NN,68,11,nmod,agencies,agency,1,Object
doc1,1,15,in,in,ADP,IN,73,18,case,effort,effort,1,Condition
doc1,1,16,a,a,DET,DT,76,18,det,effort,effort,1,Condition
doc1,1,17,common,common,ADJ,JJ,78,18,amod,effort,effort,1,Condition
doc1,1,18,effort,effort,NOUN,NN,85,9,nmod,integrate,integrate,1,Condition
doc1,1,19,to,to,PRT,TO,92,20,mark,improve,improve,1,Condition
doc1,1,20,improve,improve,VERB,VB,95,18,acl,effort,effort,1,Condition
doc1,1,21,the,the,DET,DT,103,22,det,availability,availability,1,Condition
doc1,1,22,availability,availability,NOUN,NN,107,20,dobj,improve,improve,1,Condition
doc1,1,23,of,of,ADP,IN,120,27,case,food,food,1,Condition
doc1,1,24,safe,safe,ADJ,JJ,123,27,amod,food,food,1,Condition
doc1,1,25,and,and,CONJ,CC,128,24,cc,safe,safe,1,Condition
doc1,1,26,nutritious,nutritious,ADJ,JJ,132,24,conj,safe,safe,1,Condition
doc1,1,27,food,food,NOUN,NN,143,22,nmod,availability,availability,1,Condition
doc1,1,28,at,at,ADP,IN,148,30,case,prices,price,1,Condition
doc1,1,29,reasonable,reasonable,ADJ,JJ,151,30,amod,prices,price,1,Condition
doc1,1,30,prices,price,NOUN,NNS,162,20,nmod,improve,improve,1,Condition
doc1,1,31,for,for,ADP,IN,169,33,case,residents,resident,1,Condition
doc1,1,32,all,all,DET,DT,173,33,det,residents,resident,1,Condition
doc1,1,33,residents,resident,NOUN,NNS,177,30,nmod,prices,price,1,Condition
doc1,1,34,",",",",.,",",186,9,punct,integrate,integrate,1,
doc1,1,35,particularly,particularly,ADV,RB,188,36,advmod,those,those,1,Condition
